Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99
0,0,0.0003402432,0,0.0009403086,0.001147673,0.0012644116,0.0013192066,0.0004932598,0.000433332,0.0042007852,0.0017405862,0.0013302519,0.002735401,0.0027558203,0.0027798415,0.0042165702,0.0010574842,0.0008548161,5.69E-05,2.53E-05,2.41E-05,0,0.0001062465,0.0002255117,0.0001110928,0,0.0003296326,0.0003417514,0.0003684129,0.0010302527,0.0011078861,0,0,0.0002120175,0.0001577804,0.0002416013,0.0002120175,0,0.0002767147,0,0,0,0,0,3.15E-05,0.0001024963,0,0,0,0,0,5.68E-05,3.19E-05,0,0.0003388291,0.0001950095,0.0001170057,0.0002079824,0.0004789841,0.0004091767,0.0001221995,0.0005261948,0,0,0,0.0005999305,0.0005912704,0.0003587553,0.001127295,0.0003500753,0.0002218787,0.0003266418,0.0004876277,0.000511935,0,0.0001927935,0.0001044801,0.0002650911,0.0001285445,0.0002064074,0,0,0.0001822099,0,0.0001133536,0,0,0,0,0.0002903603,1.86E-05,1.86E-05,0,0,0,1.28E-05,1.29E-05,0
0.0002775994,0.0009077249,0.0014192551,0.0007448707,0.0017277579,0.0027917145,0.0039712626,0.004200258,0.0032384575,0.0039720367,0.0067939939,0.0032458648,0.0022375318,0.0051424933,0.0057160807,0.0060702436,0.007577089,0.0033293488,0.002318433,0.0004648577,0.0004363607,0.0014057395,0.0010712844,0.0024450994,0.0018308572,0.0012801594,2.09E-05,0.0003529889,0.0003703715,0.0008645503,0.0019757474,0.0021177743,0.0007785543,0,0.000249321,0.0002072113,0.0002709361,0.0002652959,0.0003035899,0.0008932371,0,4.36E-05,0.0001100432,4.43E-05,5.55E-05,0.0002962125,0.0004726765,0,9.39E-05,7.84E-05,5.91E-05,8.53E-05,0.0002573789,0.0004011832,1.02E-05,0.0005128652,0.0003125587,0.0002534153,0.0003258967,0.0010737147,0.0012682308,0.0002504445,0.000969824,0.0002322687,9.73E-05,0.0002979642,0.0011910133,0.0016341748,0.0005205872,0.0015508675,0.0006749875,0.0003763188,0.0007819901,0.0013439413,0.0013654327,0,0.0002947501,0.000281272,0.0003985263,0.0002736232,0.0004143942,2.36E-05,0,0.0002080704,2.82E-05,0.0002270463,2.69E-05,0,0,1.26E-05,0.0003019082,6.56E-05,5.20E-05,1.32E-05,0,2.01E-05,4.50E-05,4.07E-05,6.83E-06
0.0006589037,0.0019148268,0.0027126846,0.0015479885,0.0026207306,0.0045525604,0.0067093746,0.007117608,0.0060568449,0.00760524,0.0094502035,0.0050137568,0.0032671145,0.007745949,0.0089413673,0.0093967928,0.0109897717,0.005700374,0.0039302982,0.0008750839,0.0009911993,0.0028005167,0.0022451319,0.0048402356,0.0035568549,0.0026010648,4.33E-05,0.0003889511,0.0004297053,0.0013671614,0.0030156873,0.0032920012,0.0015849464,0,0.0002845327,0.0002499684,0.0002975566,0.000319951,0.0006296334,0.0015489526,0,8.19E-05,0.0002169583,8.61E-05,0.0001136016,0.0005852353,0.000884702,0,0.000175926,0.0001494929,0.0001082829,0.000162918,0.000488375,0.0008148825,2.05E-05,0.0006900777,0.0004274486,0.0003769966,0.0004470858,0.0016917391,0.0021723659,0.0003704363,0.0014104278,0.000466401,0.0001955423,0.0006044962,0.0018050006,0.0027072955,0.0006824191,0.0019743094,0.0009945705,0.0005304351,0.0012404262,0.0022086614,0.0022280196,0,0.0003968041,0.0004648373,0.0005321805,0.0004176551,0.0006273454,4.71E-05,0,0.0002373518,6.07E-05,0.0003037524,5.77E-05,0,0,2.68E-05,0.0003173105,0.0001153806,8.78E-05,2.83E-05,0,4.30E-05,8.02E-05,7.09E-05,1.47E-05
0.002231613,0.0040929307,0.0059902296,0.0036594533,0.0049795854,0.0070741926,0.0098664871,0.0109373622,0.0099225418,0.0123967037,0.0130864546,0.0084831589,0.0054772864,0.0109579412,0.0130331448,0.0135607474,0.0151855792,0.0093345363,0.0070572302,0.0016884434,0.0026114583,0.0050400316,0.004693908,0.0077603985,0.0065624574,0.0049969101,0.0001662359,0.000658464,0.000877624,0.0023339847,0.0047882732,0.0053946801,0.0032404143,0,0.0003198631,0.0002835975,0.0004002394,0.0007092573,0.0015333697,0.0026278265,1.57E-05,0.0001107411,0.0003169189,0.0001579195,0.0003935322,0.0012331312,0.0017395891,0,0.0002083804,0.0002222743,0.0002151093,0.0003532663,0.0010548019,0.0015600726,1.75E-05,0.0008393971,0.000517773,0.000457645,0.0006848172,0.0023359397,0.0031265424,0.0003548199,0.0016421783,0.0006322239,0.0003439624,0.0009502088,0.0024037679,0.0036234286,0.0007882372,0.0021665752,0.0012103719,0.0007436195,0.0016494267,0.0028354244,0.0028386679,0,0.0005083841,0.000630132,0.0006134184,0.0006172097,0.0008944788,6.55E-05,0,0.0002779548,0.0001183467,0.0002791066,0.000110165,0,0,5.01E-05,0.0004501514,0.0001800514,0.0001369297,5.41E-05,0,8.16E-05,0.0001325462,0.0001146172,2.80E-05
0.0044388951,0.0069614248,0.0098031048,0.0066062713,0.0077354446,0.0101203348,0.0135732811,0.0154979845,0.0143744082,0.0178439934,0.0173781906,0.0122713531,0.0086777937,0.0146394031,0.0175220421,0.0182977293,0.0199780633,0.0136894327,0.0106193735,0.0029084612,0.0046027773,0.0077293099,0.0077064586,0.0110415821,0.0098958601,0.0076362247,0.0004022828,0.0010946733,0.0016967912,0.0037357795,0.0071505846,0.0078704687,0.0051893145,0,0.0003619498,0.0003616049,0.0006470576,0.0016309597,0.00288001,0.003998733,4.36E-05,0.0001723975,0.0004433923,0.0002709597,0.0009159188,0.0021625486,0.002828887,0,0.000290867,0.0003387795,0.0004409387,0.0007104294,0.0018445805,0.0024551195,9.37E-06,0.000981784,0.0006122235,0.0005839872,0.0010167242,0.0030186545,0.0039945178,0.000295403,0.0017748678,0.000751217,0.0005261703,0.0013060304,0.0029146139,0.0044156187,0.0009049311,0.002246181,0.001361768,0.0009964379,0.0020246485,0.0033477154,0.0033379416,3.51E-06,0.0005969883,0.0007882856,0.0006680037,0.0008341687,0.0011846507,7.78E-05,0,0.0002899254,0.000152078,0.0002520301,0.0001395184,2.68E-06,8.80E-06,6.13E-05,0.000619658,0.000222065,0.0001637586,6.99E-05,5.64E-06,0.0001015969,0.0001612264,0.0001393168,3.91E-05
0.007560292,0.0107251867,0.0139222805,0.0104089301,0.0108348299,0.0141989959,0.0181427684,0.0208284944,0.0195292573,0.0238129315,0.0223342729,0.0165955348,0.012922555,0.0192156823,0.0226994124,0.0237168994,0.0255149707,0.0186163478,0.0149754945,0.0047322619,0.0070476473,0.0108568988,0.011171583,0.0147008013,0.0135454117,0.0105885656,0.000758179,0.0016202078,0.0031878412,0.0058846477,0.0101310324,0.010876877,0.007542309,3.28E-05,0.0004311552,0.0005494224,0.0011071033,0.0032454866,0.0050111714,0.0062596212,8.40E-05,0.0002782455,0.0006231576,0.0004333466,0.0017636486,0.003576227,0.0043526752,0,0.0004263518,0.0004460525,0.0006914105,0.0011735354,0.0031686764,0.0036437363,9.90E-06,0.001137879,0.0007058778,0.0007464618,0.0013713152,0.0039975063,0.0052269331,0.0003364065,0.002043761,0.0008899514,0.0007274991,0.0016575769,0.0036729653,0.0054132878,0.0011587861,0.0025092945,0.0015195119,0.0012523836,0.002443844,0.0041325256,0.0040899531,2.95E-05,0.0006284295,0.0010747224,0.0007538417,0.000988126,0.0014943437,9.46E-05,0,0.000246732,0.0001368958,0.0002118969,0.0001229727,1.28E-05,4.72E-05,4.67E-05,0.0007221532,0.0002059118,0.0001450736,6.40E-05,2.68E-05,8.13E-05,0.0001401337,0.0001246423,4.71E-05
0.0106234232,0.0143692058,0.0177297276,0.0138954168,0.0137616063,0.0186465899,0.0228276467,0.0259258657,0.024444024,0.0290116647,0.0269163228,0.0206154429,0.0172915745,0.023949335,0.0277652472,0.0289035162,0.0307789206,0.0233580552,0.0194937781,0.0067760292,0.00978265,0.0140431588,0.0146054789,0.0180682904,0.0168244135,0.0132642178,0.00148753,0.0023795225,0.0052270638,0.0083638722,0.0129528542,0.0135288439,0.0097518241,0.0002559517,0.0007105164,0.0011930915,0.0021887518,0.0051069499,0.0072554988,0.0086104826,0.0001878277,0.0004215752,0.0009355775,0.0008791125,0.0029898826,0.0050148849,0.0058197154,0,0.0005383051,0.0005081766,0.0007992698,0.0016146995,0.0044714236,0.0048035815,1.15E-05,0.0012866372,0.0008240932,0.0009649399,0.0016967877,0.0047857472,0.00627474,0.0005945376,0.0025885092,0.0011119071,0.0010047796,0.0019417394,0.0043931216,0.0061811423,0.0016858977,0.0031582205,0.001827452,0.0016035647,0.0027215882,0.0047476473,0.0045540382,8.75E-05,0.0007576706,0.001480462,0.0010437625,0.0011022231,0.0015980058,0.0001048588,3.23E-06,0.0002741731,0.0001780813,0.000245358,0.0001658088,2.68E-05,0.0001142789,6.26E-05,0.0008303152,0.000209669,0.00017571,8.52E-05,5.99E-05,0.0001039023,0.0001704597,0.0001528351,7.52E-05
0.0137474697,0.0178118935,0.0213219945,0.017129359,0.0165051671,0.0232081331,0.0274699485,0.0308310156,0.0291507503,0.0338927574,0.0312540034,0.0244461564,0.0221542452,0.0293606452,0.033433321,0.0344569954,0.0365137425,0.0282083031,0.0239314102,0.009253769,0.0131271312,0.017741736,0.0184770663,0.0218387398,0.020235804,0.016104091,0.0025102324,0.0035291801,0.0075185087,0.0112578415,0.016237811,0.0164465228,0.0122808048,0.0005850143,0.00110307,0.0023994586,0.0038971812,0.0075757766,0.0100242072,0.0114381263,0.0003578569,0.0005874463,0.0013741921,0.001642469,0.0048365305,0.0071106331,0.0080473596,0,0.0006523899,0.0006243155,0.0009954435,0.002589086,0.0061021921,0.0065260891,3.69E-06,0.0014213645,0.0009657164,0.0012788424,0.0021703882,0.0057397831,0.0076154673,0.0009083264,0.0031820582,0.0013417769,0.0013238376,0.0023435093,0.0051972704,0.0071419275,0.0023510524,0.003903338,0.0022080348,0.0020015915,0.0031172409,0.0054899215,0.0051171886,0.0001354427,0.0009694004,0.0018747978,0.0014360431,0.0013648192,0.0018039719,0.0001173751,1.44E-05,0.0003643625,0.0002691939,0.0003224719,0.0002621963,4.95E-05,0.0002057201,0.0001136925,0.0010187847,0.000257984,0.0002507558,0.0001362951,0.0001117278,0.0001732185,0.0002495865,0.0002216192,0.0001282518
0.0165471483,0.0205679277,0.0239530359,0.0193332158,0.0183419287,0.0274271968,0.0311915922,0.0344340508,0.0323058021,0.0371929482,0.0339730305,0.0270829799,0.0267577454,0.0341534839,0.0382014119,0.0388026764,0.0411304629,0.0318536126,0.0271743116,0.0119811399,0.0164600345,0.0211995076,0.0217624269,0.0249231743,0.0229023917,0.0183870223,0.0036007849,0.0047982594,0.009869991,0.013936342,0.0192113084,0.0190526351,0.0145787017,0.0011612309,0.001678603,0.0038319782,0.0056515737,0.0099102442,0.0126227938,0.0139169174,0.000642938,0.000856634,0.0019785833,0.0028233243,0.006650527,0.0092786917,0.0103739866,3.44E-05,0.0007539315,0.0008144429,0.0014263501,0.0037869976,0.007774763,0.0081751248,8.76E-06,0.0015126274,0.0010628243,0.0016527388,0.0025881334,0.0066266406,0.0087880953,0.0013298572,0.0035901322,0.0016054424,0.0016395305,0.0028328248,0.0058931682,0.0080207991,0.003012292,0.0045461046,0.0026793864,0.0024072823,0.003687145,0.0061404019,0.0057450051,0.000218757,0.0012715153,0.0021304866,0.0017555813,0.0017576519,0.0021330246,0.000247178,6.91E-05,0.000424858,0.0003206901,0.0004533735,0.0003526852,9.45E-05,0.0002680871,0.0002222587,0.0013521575,0.0003008668,0.0002843419,0.000179165,0.0001971473,0.0002693323,0.0003079224,0.0002588553,0.0002152577
0.0186995097,0.0224825137,0.0256442316,0.0204706741,0.0193013871,0.0315792519,0.0345262302,0.0374168261,0.0347234658,0.0396864652,0.0359312593,0.0289258986,0.0309981428,0.0383645729,0.042213641,0.04224568,0.0448567705,0.0347283319,0.0296216637,0.014839841,0.0196669613,0.0244240804,0.0246300405,0.0275081721,0.0250281751,0.0201492804,0.0049712672,0.0063824479,0.0121111691,0.0164398939,0.0218483777,0.0214168622,0.0165532087,0.0018185581,0.0024236623,0.0053531715,0.0074145593,0.0120362352,0.0147628848,0.015790773,0.0009948296,0.0012675731,0.0029219296,0.0043178054,0.008288092,0.0111021683,0.0123042139,0.0001185619,0.0009461817,0.0011649958,0.0020949904,0.0050402176,0.0092704746,0.0097023584,4.80E-05,0.001611388,0.0011873539,0.0022023028,0.0031317111,0.007581239,0.0097526741,0.0018449726,0.0039933409,0.0019192591,0.0020894422,0.0034342678,0.0065072959,0.0088100119,0.0037265858,0.0052320214,0.0032813604,0.0029884467,0.0044502036,0.0067815695,0.0063524696,0.0003236852,0.0016369425,0.0023375985,0.0021703816,0.0022866255,0.0025563619,0.0004459015,0.0001591113,0.0004453442,0.0003476415,0.0005738833,0.0004465829,0.0001551243,0.0003135885,0.0003640905,0.001764471,0.0003247055,0.0002967751,0.0002129039,0.0002904953,0.0003754694,0.0004020344,0.0002784187,0.0003308235
