# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1   2.87562e+06       1695.77        269.89    0.00370522
              2   2.87562e+06       1695.77        269.89    0.00370522
              3   4.43645e+06       2106.29       335.226    0.00298306
              4   4.43645e+06       2106.29       335.226    0.00298306
              5   6.81926e+06       2611.37       415.612    0.00240609
              6   6.81926e+06       2611.37       415.612    0.00240609
              7   9.29843e+06       3049.33       485.316    0.00206051
              8   1.02191e+07       3196.73       508.776     0.0019655
              9   1.02191e+07       3196.73       508.776     0.0019655
             10   1.38073e+07       3715.82       591.391    0.00169093
             11   1.38073e+07       3715.82       591.391    0.00169093
             12   1.50742e+07       3882.55       617.927    0.00161831
             13   1.50742e+07       3882.55       617.927    0.00161831
             14   1.89397e+07       4351.97       692.638    0.00144376
             15   1.89397e+07       4351.97       692.638    0.00144376
             16   2.11064e+07       4594.17       731.184    0.00136764
             17   2.46067e+07       4960.51        789.49    0.00126664
             18   2.46067e+07       4960.51        789.49    0.00126664
             19   2.64906e+07        5146.9       819.155    0.00122077
             20   2.64906e+07        5146.9       819.155    0.00122077
             21   2.67139e+07       5168.55         822.6    0.00121566
             22   2.83651e+07       5325.89       847.642    0.00117974
             23   2.83651e+07       5325.89       847.642    0.00117974
             24   2.84025e+07        5329.4         848.2    0.00117897
             25   2.84025e+07        5329.4         848.2    0.00117897


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        79.4041       79.4041       79.4041       6.89889       6.89889       4.96276


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        71.4637       71.4637       71.4637       5.35148       5.35148       4.46648


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
           0.25   -9.5467e-10      0.654508


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1  -1.40913e-07  -4.22191e-07             0             0             0   -2.2252e-08
              2   4.22783e-07   -1.4105e-07             0             0             0   7.72043e-10
              3       5.06321      0.796338             0   1.98339e-08  -1.26106e-07             0
              4     -0.796126       5.06186             0   1.26073e-07   1.98286e-08             0
              5   -1.9381e-07  -2.40541e-07             0             0             0  -1.04836e-10
              6  -1.63208e-07   3.91437e-07             0             0             0   1.52327e-07
              7             0             0             0             0             0        -1.256
              8             0             0   1.05589e-09   1.02716e-07  -3.42336e-08             0
              9             0             0  -3.32424e-08  -4.15778e-08  -1.24808e-07             0
             10             0             0  -1.72157e-08   4.20828e-07   1.83786e-07             0
             11             0             0   1.80717e-07   3.05006e-07  -1.73369e-07             0
             12   5.03974e-08   7.92702e-09   3.55339e-11     -0.417201       2.65243             0
             13   7.92462e-09  -5.03821e-08  -1.25344e-11       2.65162      0.417074             0
             14  -2.71886e-07   1.92938e-07             0             0             0   2.86393e-08
             15   4.51308e-08  -2.37748e-07             0             0             0  -1.31968e-08
             16             0             0       5.26998             0             0             0
             17  -1.65201e-07  -4.95608e-07             0             0             0  -1.15017e-08
             18   6.00843e-07  -2.00186e-07             0             0             0   4.79244e-10
             19             0             0  -7.23947e-07  -2.62996e-07  -3.08909e-07             0
             20             0             0   1.32994e-06  -2.70092e-07  -1.25994e-07             0
             21   -2.3897e-11  -1.67916e-11  -1.46727e-07             0             0             0
             22      -5.59654     -0.880202             0   -1.1919e-07   7.57839e-07    8.8039e-12
             23      0.879953      -5.59495             0  -7.57625e-07  -1.19156e-07  -2.22718e-11
             24   1.48463e-05  -4.18484e-05             0  -5.73361e-12             0    -1.967e-08
             25   1.21095e-05   2.91271e-05             0             0             0   1.54918e-09


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1             0             0             0             0             0             0
              2             0             0             0             0             0             0
              3       58.6548       1.45093             0             0             0             0
              4       1.45093       58.6548             0             0             0             0
              5             0             0             0             0             0             0
              6             0             0             0             0             0             0
              7             0             0             0             0             0       3.94832
              8             0             0             0             0             0             0
              9             0             0             0             0             0             0
             10             0             0             0             0             0             0
             11             0             0             0             0             0             0
             12             0             0             0     0.0571637       2.31055             0
             13             0             0             0       2.31055     0.0571637             0
             14             0             0             0             0             0             0
             15             0             0             0             0             0             0
             16             0             0       36.0704             0             0             0
             17             0             0             0             0             0             0
             18             0             0             0             0             0             0
             19             0             0             0             0             0             0
             20             0             0             0             0             0             0
