# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1        922719       960.583       152.882    0.00654101
              2        922719       960.583       152.882    0.00654101
              3        940316       969.699       154.332    0.00647952
              4        940316       969.699       154.332    0.00647952
              5   2.33031e+06       1526.54       242.956    0.00411598
              6   4.74971e+06       2179.38        346.86    0.00288301
              7   4.74971e+06       2179.38        346.86    0.00288301
              8   5.08509e+06       2255.01       358.897    0.00278632
              9   5.08509e+06       2255.01       358.897    0.00278632
             10   8.35201e+06       2889.98       459.955    0.00217412
             11   8.35201e+06       2889.98       459.955    0.00217412
             12   8.53322e+06       2921.17       464.918    0.00215092
             13   8.53322e+06       2921.17       464.918    0.00215092
             14   1.37198e+07       3704.03       589.515    0.00169631
             15   1.37198e+07       3704.03       589.515    0.00169631
             16   1.68882e+07       4109.52        654.05    0.00152893
             17   1.68882e+07       4109.52        654.05    0.00152893
             18    1.6985e+07       4121.28       655.923    0.00152457
             19    1.6985e+07       4121.28       655.923    0.00152457
             20   1.84588e+07       4296.37       683.789    0.00146244
             21   1.84588e+07       4296.37       683.789    0.00146244
             22   1.97774e+07       4447.18        707.79    0.00141285
             23   2.06213e+07       4541.07       722.734    0.00138364
             24   2.06213e+07       4541.07       722.734    0.00138364
             25   2.06293e+07       4541.95       722.874    0.00138337


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        79.4041       79.4041       79.4041       6.89889       6.89889       4.96276


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        75.4339       75.4339       71.4637       6.00111       6.00111       4.71462


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
           0.25             0      0.654508


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1      -1.78887       1.31518             0     -0.186316     -0.253421             0
              2        1.3148       1.78835             0     -0.253347      0.186262             0
              3  -1.03753e-08  -1.93628e-08             0   2.74593e-09  -1.46987e-09   9.01834e-11
              4  -1.87451e-08   1.53405e-08             0  -2.17649e-09  -2.65801e-09   1.04784e-11
              5             0    6.6756e-12             0             0             0        1.2688
              6  -2.47601e-10   2.11217e-10             0   1.10586e-10   1.25746e-10             0
              7  -1.31843e-10  -2.57796e-10             0  -1.31543e-10   6.50655e-11  -1.76639e-11
              8  -1.63505e-09  -1.10901e-09  -4.13832e-12   1.84877e-11  -2.42811e-11  -5.08177e-10
              9  -9.71601e-10   1.56366e-09  -2.37396e-11  -2.00818e-11  -1.04439e-11   1.23301e-10
             10  -6.60707e-08  -4.50966e-08  -7.74204e-12    -2.497e-08   3.65821e-08  -2.20975e-10
             11   3.85878e-08  -6.26431e-08   4.83752e-11  -3.46824e-08  -2.13631e-08  -5.36564e-11
             12      -1.99869       1.46569             0        0.8136       1.10946             0
             13      -1.46527      -1.99811             0      -1.10914      0.813364             0
             14  -2.99688e-10   2.98234e-10  -6.75849e-12   8.59065e-11   8.44146e-11  -3.22877e-12
             15   1.57616e-10   3.80496e-10             0   1.07654e-10  -4.30823e-11   3.17534e-11
             16   6.63137e-11   -1.2316e-10   5.08887e-09  -1.21013e-10  -3.34326e-11   5.60008e-10
             17  -1.12953e-10  -8.64922e-11  -1.08936e-09  -9.85708e-11   8.37522e-11   2.63496e-09
             18  -5.37097e-09  -3.73525e-09  -2.53945e-11   -1.0965e-09   1.57688e-09  -2.70427e-10
             19   2.97547e-09  -4.96248e-09   1.63131e-10  -1.45718e-09  -8.73867e-10  -6.53844e-11
             20       2.95285      -2.17003             0     -0.651526     -0.886559             0
             21      -2.16916      -2.95166             0     -0.886202      0.651264             0
             22             0             0       3.17275             0             0             0
             23   8.51213e-11    7.5735e-11    2.8573e-08   2.24684e-11    6.2632e-11  -8.61367e-07
             24    4.0072e-11  -1.08771e-10    6.1159e-09   9.78587e-12   6.77701e-11   4.05472e-06
             25             0   6.49172e-12             0   8.37196e-12   3.20622e-12     -0.563702


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1       39.5914       21.4001             0      0.429482      0.794565             0
              2       21.4001       39.5914             0      0.794565      0.429482             0
              3             0             0             0             0             0             0
              4             0             0             0             0             0             0
              5             0             0             0             0             0       4.00506
              6             0             0             0             0             0             0
              7             0             0             0             0             0             0
              8             0             0             0             0             0             0
              9             0             0             0             0             0             0
             10             0             0             0             0             0             0
             11             0             0             0             0             0             0
             12        5.1103       2.74816             0      0.846796       1.57465             0
             13       2.74816        5.1103             0       1.57465      0.846796             0
             14             0             0             0             0             0             0
             15             0             0             0             0             0             0
             16             0             0             0             0             0             0
             17             0             0             0             0             0             0
             18             0             0             0             0             0             0
             19             0             0             0             0             0             0
             20       1.13343      0.612133             0     0.0551795      0.102171             0
             21      0.612133       1.13343             0      0.102171     0.0551795             0
             22             0             0       33.7296             0             0             0
             23             0             0             0             0             0             0
             24             0             0             0             0             0             0
             25             0             0             0             0             0      0.430411


* 8. MODAL PARTICIPATION MASSES (cumulative):
# The cumulative modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1       39.5914       21.4001             0      0.429482      0.794565             0
              2       60.9915       60.9915             0       1.22405       1.22405             0
              3       60.9915       60.9915             0       1.22405       1.22405             0
              4       60.9915       60.9915             0       1.22405       1.22405             0
              5       60.9915       60.9915             0       1.22405       1.22405       4.00506
              6       60.9915       60.9915             0       1.22405       1.22405       4.00506
              7       60.9915       60.9915             0       1.22405       1.22405       4.00506
              8       60.9915       60.9915             0       1.22405       1.22405       4.00506
              9       60.9915       60.9915             0       1.22405       1.22405       4.00506
             10       60.9915       60.9915             0       1.22405       1.22405       4.00506
             11       60.9915       60.9915             0       1.22405       1.22405       4.00506
             12       66.1018       63.7397             0       2.07084        2.7987       4.00506
             13         68.85         68.85             0       3.64549       3.64549       4.00506
             14         68.85         68.85             0       3.64549       3.64549       4.00506
             15         68.85         68.85             0       3.64549       3.64549       4.00506
             16         68.85         68.85             0       3.64549       3.64549       4.00506
             17         68.85         68.85             0       3.64549       3.64549       4.00506
             18         68.85         68.85             0       3.64549       3.64549       4.00506
             19         68.85         68.85             0       3.64549       3.64549       4.00506
             20       69.9834       69.4621             0       3.70067       3.74766       4.00506
             21       70.5956       70.5956             0       3.80284       3.80284       4.00506
             22       70.5956       70.5956       33.7296       3.80284       3.80284       4.00506
             23       70.5956       70.5956       33.7296       3.80284       3.80284       4.00506
             24       70.5956       70.5956       33.7296       3.80284       3.80284       4.00506
             25       70.5956       70.5956       33.7296       3.80284       3.80284       4.43547


* 9. MODAL PARTICIPATION MASS RATIOS (%):
# The modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1       52.4849       28.3694             0        7.1567       13.2403             0
              2       28.3694       52.4849             0       13.2403        7.1567             0
              3             0             0             0             0             0             0
              4             0             0             0             0             0             0
              5             0             0             0             0             0       84.9498
              6             0             0             0             0             0             0
              7             0             0             0             0             0             0
              8             0             0             0             0             0             0
              9             0             0             0             0             0             0
             10             0             0             0             0             0             0
             11             0             0             0             0             0             0
             12       6.77455       3.64314             0       14.1106       26.2393             0
             13       3.64314       6.77455             0       26.2393       14.1106             0
             14             0             0             0             0             0             0
             15             0             0             0             0             0             0
             16             0             0             0             0             0             0
             17             0             0             0             0             0             0
             18             0             0             0             0             0             0
             19             0             0             0             0             0             0
             20       1.50255      0.811482             0      0.919488       1.70254             0
             21      0.811482       1.50255             0       1.70254      0.919488             0
             22             0             0       47.1982             0             0             0
             23             0             0             0             0             0             0
             24             0             0             0             0             0             0
             25             0             0             0             0             0       9.12929


* 10. MODAL PARTICIPATION MASS RATIOS (%) (cumulative):
# The cumulative modal participation mass ratios (%) for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1       52.4849       28.3694             0        7.1567       13.2403             0
              2       80.8543       80.8543             0        20.397        20.397             0
              3       80.8543       80.8543             0        20.397        20.397             0
              4       80.8543       80.8543             0        20.397        20.397             0
              5       80.8543       80.8543             0        20.397        20.397       84.9498
              6       80.8543       80.8543             0        20.397        20.397       84.9498
              7       80.8543       80.8543             0        20.397        20.397       84.9498
              8       80.8543       80.8543             0        20.397        20.397       84.9498
              9       80.8543       80.8543             0        20.397        20.397       84.9498
             10       80.8543       80.8543             0        20.397        20.397       84.9498
             11       80.8543       80.8543             0        20.397        20.397       84.9498
             12       87.6288       84.4974             0       34.5076       46.6363       84.9498
             13       91.2719       91.2719             0       60.7469       60.7469       84.9498
             14       91.2719       91.2719             0       60.7469       60.7469       84.9498
             15       91.2719       91.2719             0       60.7469       60.7469       84.9498
             16       91.2719       91.2719             0       60.7469       60.7469       84.9498
             17       91.2719       91.2719             0       60.7469       60.7469       84.9498
             18       91.2719       91.2719             0       60.7469       60.7469       84.9498
             19       91.2719       91.2719             0       60.7469       60.7469       84.9498
             20       92.7745       92.0834             0       61.6664       62.4495       84.9498
             21        93.586        93.586             0       63.3689       63.3689       84.9498
             22        93.586        93.586       47.1982       63.3689       63.3689       84.9498
             23        93.586        93.586       47.1982       63.3689       63.3689       84.9498
             24        93.586        93.586       47.1982       63.3689       63.3689       84.9498
             25        93.586        93.586       47.1982       63.3689       63.3689       94.0791


